Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-be75eec_150,Random,Transpose_First,2110005,0.000006,39.416905
N-be75eec_150,Random,Transpose_Best,2116936,0.000010,39.217900
N-be75eec_150,Random,Exchange_First,3397099,0.330301,2.461477
N-be75eec_150,Random,Exchange_Best,3370646,0.054315,3.221003
N-be75eec_150,Random,Insert_First,3419060,0.310812,1.830926
N-be75eec_150,Random,Insert_Best,3422308,0.080011,1.737668
N-be75eec_150,CW,Transpose_First,2862125,0.000009,17.821810
N-be75eec_150,CW,Transpose_Best,2861204,0.000012,17.848254
N-be75eec_150,CW,Exchange_First,3399566,0.333310,2.390643
N-be75eec_150,CW,Exchange_Best,3408882,0.076577,2.123160
N-be75eec_150,CW,Insert_First,3420800,0.263755,1.780967
N-be75eec_150,CW,Insert_Best,3428002,0.077078,1.574181
N-be75eec_150,CW,VND_TEI,3432634,0.361468,1.441185
N-be75eec_150,CW,VND_TIE,3421678,0.232187,1.755757
N-be75eec_250,Random,Transpose_First,5668583,0.000015,36.261742
N-be75eec_250,Random,Transpose_Best,5665677,0.000022,36.294418
N-be75eec_250,Random,Exchange_First,8707547,4.875979,2.091250
N-be75eec_250,Random,Exchange_Best,8589659,0.672506,3.416797
N-be75eec_250,Random,Insert_First,8695911,3.784932,2.222087
N-be75eec_250,Random,Insert_Best,8661395,0.698274,2.610189
N-be75eec_250,CW,Transpose_First,7323577,0.000010,17.652782
N-be75eec_250,CW,Transpose_Best,7336238,0.000019,17.510420
N-be75eec_250,CW,Exchange_First,8671167,4.152932,2.500311
N-be75eec_250,CW,Exchange_Best,8653669,0.647465,2.697061
N-be75eec_250,CW,Insert_First,8673586,2.883163,2.473112
N-be75eec_250,CW,Insert_Best,8723613,0.648006,1.910602
N-be75eec_250,CW,VND_TEI,8704627,4.394398,2.124083
N-be75eec_250,CW,VND_TIE,8666890,2.558888,2.548402
N-be75np_150,Random,Transpose_First,4809500,0.000009,32.962334
N-be75np_150,Random,Transpose_Best,4807943,0.000010,32.984037
N-be75np_150,Random,Exchange_First,7002130,0.339298,2.400156
N-be75np_150,Random,Exchange_Best,6937823,0.065759,3.296505
N-be75np_150,Random,Insert_First,7116303,0.301125,0.808745
