Instance,Init,Algorithm,Cost,Time_s
N-be75eec_150,Random,Transpose_First,2110005,0.000006
N-be75eec_150,Random,Transpose_Best,2116936,0.000010
N-be75eec_150,Random,Exchange_First,3397099,0.330301
N-be75eec_150,Random,Exchange_Best,3370646,0.054315
N-be75eec_150,Random,Insert_First,3419060,0.310812
N-be75eec_150,Random,Insert_Best,3422308,0.080011
N-be75eec_150,CW,Transpose_First,2862125,0.000009
N-be75eec_150,CW,Transpose_Best,2861204,0.000012
N-be75eec_150,CW,Exchange_First,3399566,0.333310
N-be75eec_150,CW,Exchange_Best,3408882,0.076577
N-be75eec_150,CW,Insert_First,3420800,0.263755
N-be75eec_150,CW,Insert_Best,3428002,0.077078
N-be75eec_150,CW,VND_TEI,3432634,0.361468
N-be75eec_150,CW,VND_TIE,3421678,0.232187
N-be75eec_250,Random,Transpose_First,5668583,0.000015
N-be75eec_250,Random,Transpose_Best,5665677,0.000022
N-be75eec_250,Random,Exchange_First,8707547,4.875979
N-be75eec_250,Random,Exchange_Best,8589659,0.672506
N-be75eec_250,Random,Insert_First,8695911,3.784932
N-be75eec_250,Random,Insert_Best,8661395,0.698274
N-be75eec_250,CW,Transpose_First,7323577,0.000010
N-be75eec_250,CW,Transpose_Best,7336238,0.000019
N-be75eec_250,CW,Exchange_First,8671167,4.152932
N-be75eec_250,CW,Exchange_Best,8653669,0.647465
N-be75eec_250,CW,Insert_First,8673586,2.883163
N-be75eec_250,CW,Insert_Best,8723613,0.648006
N-be75eec_250,CW,VND_TEI,8704627,4.394398
N-be75eec_250,CW,VND_TIE,8666890,2.558888
N-be75np_150,Random,Transpose_First,4809500,0.000009
N-be75np_150,Random,Transpose_Best,4807943,0.000010
N-be75np_150,Random,Exchange_First,7002130,0.339298
N-be75np_150,Random,Exchange_Best,6937823,0.065759
N-be75np_150,Random,Insert_First,7116303,0.301125
N-be75np_150,Random,Insert_Best,7044246,0.079841
N-be75np_150,CW,Transpose_First,5937675,0.000007
N-be75np_150,CW,Transpose_Best,5978048,0.000011
N-be75np_150,CW,Exchange_First,6963430,0.323846
N-be75np_150,CW,Exchange_Best,6880714,0.059204
N-be75np_150,CW,Insert_First,7063816,0.294014
N-be75np_150,CW,Insert_Best,7036796,0.068589
N-be75np_150,CW,VND_TEI,7029750,0.343678
N-be75np_150,CW,VND_TIE,7019801,0.251035
N-be75np_250,Random,Transpose_First,11908894,0.000016
N-be75np_250,Random,Transpose_Best,11849453,0.000024
N-be75np_250,Random,Exchange_First,17401607,4.807790
N-be75np_250,Random,Exchange_Best,17120472,0.697451
N-be75np_250,Random,Insert_First,17437911,4.169971
N-be75np_250,Random,Insert_Best,17438981,0.666289
N-be75np_250,CW,Transpose_First,15139849,0.000022
N-be75np_250,CW,Transpose_Best,15153401,0.000033
N-be75np_250,CW,Exchange_First,17492833,4.306793
N-be75np_250,CW,Exchange_Best,17290954,0.559455
N-be75np_250,CW,Insert_First,17547014,2.844828
N-be75np_250,CW,Insert_Best,17515396,0.586890
N-be75np_250,CW,VND_TEI,17548268,4.017947
N-be75np_250,CW,VND_TIE,17544266,2.738266
N-be75oi_150,Random,Transpose_First,1494458,0.000007
N-be75oi_150,Random,Transpose_Best,1494457,0.000006
N-be75oi_150,Random,Exchange_First,2200985,0.343854
N-be75oi_150,Random,Exchange_Best,2206582,0.084536
N-be75oi_150,Random,Insert_First,2212119,0.272303
N-be75oi_150,Random,Insert_Best,2212618,0.072361
N-be75oi_150,CW,Transpose_First,1912834,0.000004
N-be75oi_150,CW,Transpose_Best,1915033,0.000006
N-be75oi_150,CW,Exchange_First,2209514,0.263810
N-be75oi_150,CW,Exchange_Best,2199939,0.047729
N-be75oi_150,CW,Insert_First,2215509,0.190670
N-be75oi_150,CW,Insert_Best,2221161,0.077798
N-be75oi_150,CW,VND_TEI,2225327,0.371136
N-be75oi_150,CW,VND_TIE,2222518,0.204467
N-be75oi_250,Random,Transpose_First,2961478,0.000012
N-be75oi_250,Random,Transpose_Best,2974767,0.000022
N-be75oi_250,Random,Exchange_First,5761454,5.165788
N-be75oi_250,Random,Exchange_Best,5743334,0.649804
N-be75oi_250,Random,Insert_First,5784346,3.402962
N-be75oi_250,Random,Insert_Best,5748063,0.631677
N-be75oi_250,CW,Transpose_First,4948325,0.000013
N-be75oi_250,CW,Transpose_Best,4956356,0.000018
N-be75oi_250,CW,Exchange_First,5813632,4.548362
N-be75oi_250,CW,Exchange_Best,5741585,0.669408
N-be75oi_250,CW,Insert_First,5802561,2.541826
N-be75oi_250,CW,Insert_Best,5797618,0.667860
N-be75oi_250,CW,VND_TEI,5798277,4.529229
N-be75oi_250,CW,VND_TIE,5788222,2.428565
N-be75tot_150,Random,Transpose_First,7763504,0.000011
N-be75tot_150,Random,Transpose_Best,7759919,0.000011
N-be75tot_150,Random,Exchange_First,11881492,0.348898
N-be75tot_150,Random,Exchange_Best,11788049,0.058879
N-be75tot_150,Random,Insert_First,11936955,0.265315
N-be75tot_150,Random,Insert_Best,11989949,0.088944
N-be75tot_150,CW,Transpose_First,10154073,0.000008
N-be75tot_150,CW,Transpose_Best,10206380,0.000011
N-be75tot_150,CW,Exchange_First,11916595,0.303023
N-be75tot_150,CW,Exchange_Best,11777774,0.050024
N-be75tot_150,CW,Insert_First,11999197,0.253324
N-be75tot_150,CW,Insert_Best,11958017,0.092485
N-be75tot_150,CW,VND_TEI,12001633,0.273988
N-be75tot_150,CW,VND_TIE,12075342,0.239763
N-be75tot_250,Random,Transpose_First,20410636,0.000019
N-be75tot_250,Random,Transpose_Best,20495488,0.000031
N-be75tot_250,Random,Exchange_First,30351180,4.495291
N-be75tot_250,Random,Exchange_Best,29877673,0.641864
N-be75tot_250,Random,Insert_First,30500814,3.659670
N-be75tot_250,Random,Insert_Best,30318649,0.665008
N-be75tot_250,CW,Transpose_First,26465619,0.000019
N-be75tot_250,CW,Transpose_Best,26493435,0.000032
N-be75tot_250,CW,Exchange_First,30353259,3.322678
N-be75tot_250,CW,Exchange_Best,30255002,0.571565
N-be75tot_250,CW,Insert_First,30530282,2.551834
