Instance,Init,Algorithm,Cost,Time_s
N-be75eec_150,Random,Transpose_First,2110005,0.000007
N-be75eec_150,Random,Transpose_Best,2116936,0.000007
N-be75eec_150,Random,Exchange_First,3397099,0.311485
N-be75eec_150,Random,Exchange_Best,3370646,0.052874
N-be75eec_150,Random,Insert_First,3419060,0.291271
N-be75eec_150,Random,Insert_Best,3422308,0.078820
N-be75eec_150,CW,Transpose_First,2862125,0.000007
N-be75eec_150,CW,Transpose_Best,2861204,0.000010
N-be75eec_150,CW,Exchange_First,3399566,0.284289
N-be75eec_150,CW,Exchange_Best,3408882,0.069701
N-be75eec_150,CW,Insert_First,3420800,0.243317
N-be75eec_150,CW,Insert_Best,3428002,0.075621
N-be75eec_150,CW,VND_TEI,3432634,0.325445
N-be75eec_150,CW,VND_TIE,3421678,0.221847
N-be75eec_250,Random,Transpose_First,5668583,0.000013
N-be75eec_250,Random,Transpose_Best,5665677,0.000021
N-be75eec_250,Random,Exchange_First,8707547,4.595132
N-be75eec_250,Random,Exchange_Best,8589659,0.633689
N-be75eec_250,Random,Insert_First,8695911,3.542020
N-be75eec_250,Random,Insert_Best,8661395,0.662599
N-be75eec_250,CW,Transpose_First,7323577,0.000011
N-be75eec_250,CW,Transpose_Best,7336238,0.000020
N-be75eec_250,CW,Exchange_First,8671167,3.748714
N-be75eec_250,CW,Exchange_Best,8653669,0.556191
N-be75eec_250,CW,Insert_First,8673586,2.621811
N-be75eec_250,CW,Insert_Best,8723613,0.602633
N-be75eec_250,CW,VND_TEI,8704627,3.905010
N-be75eec_250,CW,VND_TIE,8666890,2.413615
N-be75np_150,Random,Transpose_First,4809500,0.000007
N-be75np_150,Random,Transpose_Best,4807943,0.000009
N-be75np_150,Random,Exchange_First,7002130,0.313785
N-be75np_150,Random,Exchange_Best,6937823,0.062262
N-be75np_150,Random,Insert_First,7116303,0.284793
N-be75np_150,Random,Insert_Best,7044246,0.077254
N-be75np_150,CW,Transpose_First,5937675,0.000012
N-be75np_150,CW,Transpose_Best,5978048,0.000019
N-be75np_150,CW,Exchange_First,6963430,0.295434
N-be75np_150,CW,Exchange_Best,6880714,0.054631
N-be75np_150,CW,Insert_First,7063816,0.258991
N-be75np_150,CW,Insert_Best,7036796,0.067221
N-be75np_150,CW,VND_TEI,7029750,0.324397
N-be75np_150,CW,VND_TIE,7019801,0.233856
N-be75np_250,Random,Transpose_First,11908894,0.000013
N-be75np_250,Random,Transpose_Best,11849453,0.000024
N-be75np_250,Random,Exchange_First,17401607,4.375846
N-be75np_250,Random,Exchange_Best,17120472,0.627316
N-be75np_250,Random,Insert_First,17437911,3.756302
N-be75np_250,Random,Insert_Best,17438981,0.646899
N-be75np_250,CW,Transpose_First,15139849,0.000016
N-be75np_250,CW,Transpose_Best,15153401,0.000027
N-be75np_250,CW,Exchange_First,17492833,4.048456
N-be75np_250,CW,Exchange_Best,17290954,0.540503
N-be75np_250,CW,Insert_First,17547014,2.714568
N-be75np_250,CW,Insert_Best,17515396,0.566939
N-be75np_250,CW,VND_TEI,17548268,3.847057
N-be75np_250,CW,VND_TIE,17544266,2.608444
N-be75oi_150,Random,Transpose_First,1494458,0.000005
N-be75oi_150,Random,Transpose_Best,1494457,0.000005
N-be75oi_150,Random,Exchange_First,2200985,0.334765
N-be75oi_150,Random,Exchange_Best,2206582,0.077415
N-be75oi_150,Random,Insert_First,2212119,0.275946
N-be75oi_150,Random,Insert_Best,2212618,0.075124
N-be75oi_150,CW,Transpose_First,1912834,0.000004
N-be75oi_150,CW,Transpose_Best,1915033,0.000004
N-be75oi_150,CW,Exchange_First,2209514,0.255074
N-be75oi_150,CW,Exchange_Best,2199939,0.046042
N-be75oi_150,CW,Insert_First,2215509,0.188389
N-be75oi_150,CW,Insert_Best,2221161,0.081197
N-be75oi_150,CW,VND_TEI,2225327,0.356998
N-be75oi_150,CW,VND_TIE,2222518,0.205278
N-be75oi_250,Random,Transpose_First,2961478,0.000012
N-be75oi_250,Random,Transpose_Best,2974767,0.000018
N-be75oi_250,Random,Exchange_First,5761454,4.930752
N-be75oi_250,Random,Exchange_Best,5743334,0.605298
N-be75oi_250,Random,Insert_First,5784346,3.284781
N-be75oi_250,Random,Insert_Best,5748063,0.615154
N-be75oi_250,CW,Transpose_First,4948325,0.000022
N-be75oi_250,CW,Transpose_Best,4956356,0.000020
N-be75oi_250,CW,Exchange_First,5813632,4.459766
N-be75oi_250,CW,Exchange_Best,5741585,0.645373
N-be75oi_250,CW,Insert_First,5802561,2.506786
N-be75oi_250,CW,Insert_Best,5797618,0.675363
N-be75oi_250,CW,VND_TEI,5798277,4.318103
N-be75oi_250,CW,VND_TIE,5788222,2.402934
N-be75tot_150,Random,Transpose_First,7763504,0.000008
N-be75tot_150,Random,Transpose_Best,7759919,0.000013
N-be75tot_150,Random,Exchange_First,11881492,0.345310
N-be75tot_150,Random,Exchange_Best,11788049,0.057987
N-be75tot_150,Random,Insert_First,11936955,0.268632
N-be75tot_150,Random,Insert_Best,11989949,0.089732
N-be75tot_150,CW,Transpose_First,10154073,0.000005
N-be75tot_150,CW,Transpose_Best,10206380,0.000009
N-be75tot_150,CW,Exchange_First,11916595,0.290345
N-be75tot_150,CW,Exchange_Best,11777774,0.049976
N-be75tot_150,CW,Insert_First,11999197,0.256743
N-be75tot_150,CW,Insert_Best,11958017,0.082722
N-be75tot_150,CW,VND_TEI,12001633,0.272517
N-be75tot_150,CW,VND_TIE,12075342,0.242068
N-be75tot_250,Random,Transpose_First,20410636,0.000014
N-be75tot_250,Random,Transpose_Best,20495488,0.000033
N-be75tot_250,Random,Exchange_First,30351180,4.364892
N-be75tot_250,Random,Exchange_Best,29877673,0.606802
N-be75tot_250,Random,Insert_First,30500814,3.499126
N-be75tot_250,Random,Insert_Best,30318649,0.648850
N-be75tot_250,CW,Transpose_First,26465619,0.000019
N-be75tot_250,CW,Transpose_Best,26493435,0.000030
N-be75tot_250,CW,Exchange_First,30353259,3.154943
N-be75tot_250,CW,Exchange_Best,30255002,0.553672
N-be75tot_250,CW,Insert_First,30530282,2.498858
N-be75tot_250,CW,Insert_Best,30503500,0.588179
N-be75tot_250,CW,VND_TEI,30421910,3.489523
N-be75tot_250,CW,VND_TIE,30376340,2.241937
N-stabu1_150,Random,Transpose_First,1827538,0.000007
N-stabu1_150,Random,Transpose_Best,1836079,0.000012
N-stabu1_150,Random,Exchange_First,2800349,0.355269
N-stabu1_150,Random,Exchange_Best,2769345,0.058766
N-stabu1_150,Random,Insert_First,2824108,0.355085
N-stabu1_150,Random,Insert_Best,2815434,0.078722
N-stabu1_150,CW,Transpose_First,2414897,0.000007
N-stabu1_150,CW,Transpose_Best,2424662,0.000010
N-stabu1_150,CW,Exchange_First,2823165,0.325199
N-stabu1_150,CW,Exchange_Best,2802577,0.053342
N-stabu1_150,CW,Insert_First,2810220,0.238580
N-stabu1_150,CW,Insert_Best,2836229,0.071951
N-stabu1_150,CW,VND_TEI,2833870,0.318735
N-stabu1_150,CW,VND_TIE,2810645,0.255300
N-stabu1_250,Random,Transpose_First,4880794,0.000016
N-stabu1_250,Random,Transpose_Best,4871705,0.000029
N-stabu1_250,Random,Exchange_First,7551833,4.544123
N-stabu1_250,Random,Exchange_Best,7529820,0.681047
N-stabu1_250,Random,Insert_First,7623629,4.118816
N-stabu1_250,Random,Insert_Best,7565869,0.652784
N-stabu1_250,CW,Transpose_First,6569513,0.000025
N-stabu1_250,CW,Transpose_Best,6582511,0.000030
N-stabu1_250,CW,Exchange_First,7589315,3.753250
N-stabu1_250,CW,Exchange_Best,7533872,0.467666
N-stabu1_250,CW,Insert_First,7612236,2.509339
N-stabu1_250,CW,Insert_Best,7602849,0.572532
N-stabu1_250,CW,VND_TEI,7628439,3.803199
N-stabu1_250,CW,VND_TIE,7622777,2.518199
N-stabu2_150,Random,Transpose_First,2726108,0.000007
N-stabu2_150,Random,Transpose_Best,2730307,0.000010
