Instance,Init,Algorithm,Cost,Time_s
N-be75eec_150,Random,Transpose_First,2110005,0.000007
N-be75eec_150,Random,Transpose_Best,2116936,0.000011
N-be75eec_150,Random,Exchange_First,3397099,0.312123
N-be75eec_150,Random,Exchange_Best,3370646,0.052839
N-be75eec_150,Random,Insert_First,3419060,0.323145
N-be75eec_150,Random,Insert_Best,3422308,0.073341
N-be75eec_150,CW,Transpose_First,2862125,0.000005
N-be75eec_150,CW,Transpose_Best,2861204,0.000009
N-be75eec_150,CW,Exchange_First,3399566,0.286905
N-be75eec_150,CW,Exchange_Best,3408882,0.069651
N-be75eec_150,CW,Insert_First,3420800,0.268770
N-be75eec_150,CW,Insert_Best,3428002,0.070131
N-be75eec_150,CW,VND_TEI,3432634,0.327958
N-be75eec_150,CW,VND_TIE,3421678,0.243424
N-be75eec_250,Random,Transpose_First,5668583,0.000014
N-be75eec_250,Random,Transpose_Best,5665677,0.000025
N-be75eec_250,Random,Exchange_First,8707547,4.667173
N-be75eec_250,Random,Exchange_Best,8589659,0.642647
N-be75eec_250,Random,Insert_First,8695911,3.829857
N-be75eec_250,Random,Insert_Best,8661395,0.639163
N-be75eec_250,CW,Transpose_First,7323577,0.000012
N-be75eec_250,CW,Transpose_Best,7336238,0.000018
N-be75eec_250,CW,Exchange_First,8671167,3.763635
N-be75eec_250,CW,Exchange_Best,8653669,0.560861
N-be75eec_250,CW,Insert_First,8673586,2.816415
N-be75eec_250,CW,Insert_Best,8723613,0.582081
N-be75eec_250,CW,VND_TEI,8704627,3.929909
N-be75eec_250,CW,VND_TIE,8666890,2.586926
N-be75np_150,Random,Transpose_First,4809500,0.000008
N-be75np_150,Random,Transpose_Best,4807943,0.000009
N-be75np_150,Random,Exchange_First,7002130,0.315202
N-be75np_150,Random,Exchange_Best,6937823,0.061275
N-be75np_150,Random,Insert_First,7116303,0.317719
N-be75np_150,Random,Insert_Best,7044246,0.070925
N-be75np_150,CW,Transpose_First,5937675,0.000006
N-be75np_150,CW,Transpose_Best,5978048,0.000012
N-be75np_150,CW,Exchange_First,6963430,0.296893
N-be75np_150,CW,Exchange_Best,6880714,0.054470
N-be75np_150,CW,Insert_First,7063816,0.291418
N-be75np_150,CW,Insert_Best,7036796,0.063150
N-be75np_150,CW,VND_TEI,7029750,0.326752
N-be75np_150,CW,VND_TIE,7019801,0.257618
N-be75np_250,Random,Transpose_First,11908894,0.000014
N-be75np_250,Random,Transpose_Best,11849453,0.000029
N-be75np_250,Random,Exchange_First,17401607,4.411796
N-be75np_250,Random,Exchange_Best,17120472,0.624245
N-be75np_250,Random,Insert_First,17437911,4.083374
N-be75np_250,Random,Insert_Best,17438981,0.625203
N-be75np_250,CW,Transpose_First,15139849,0.000014
N-be75np_250,CW,Transpose_Best,15153401,0.000024
N-be75np_250,CW,Exchange_First,17492833,4.071740
N-be75np_250,CW,Exchange_Best,17290954,0.588690
N-be75np_250,CW,Insert_First,17547014,2.971897
N-be75np_250,CW,Insert_Best,17515396,0.555117
N-be75np_250,CW,VND_TEI,17548268,3.902026
N-be75np_250,CW,VND_TIE,17544266,2.810582
N-be75oi_150,Random,Transpose_First,1494458,0.000006
N-be75oi_150,Random,Transpose_Best,1494457,0.000009
N-be75oi_150,Random,Exchange_First,2200985,0.333642
N-be75oi_150,Random,Exchange_Best,2206582,0.078581
N-be75oi_150,Random,Insert_First,2212119,0.301480
N-be75oi_150,Random,Insert_Best,2212618,0.070852
N-be75oi_150,CW,Transpose_First,1912834,0.000003
N-be75oi_150,CW,Transpose_Best,1915033,0.000006
N-be75oi_150,CW,Exchange_First,2209514,0.258199
N-be75oi_150,CW,Exchange_Best,2199939,0.045140
N-be75oi_150,CW,Insert_First,2215509,0.212077
N-be75oi_150,CW,Insert_Best,2221161,0.077283
N-be75oi_150,CW,VND_TEI,2225327,0.361068
N-be75oi_150,CW,VND_TIE,2222518,0.227664
N-be75oi_250,Random,Transpose_First,2961478,0.000012
N-be75oi_250,Random,Transpose_Best,2974767,0.000017
N-be75oi_250,Random,Exchange_First,5761454,4.967476
N-be75oi_250,Random,Exchange_Best,5743334,0.604533
N-be75oi_250,Random,Insert_First,5784346,3.558927
N-be75oi_250,Random,Insert_Best,5748063,0.605525
N-be75oi_250,CW,Transpose_First,4948325,0.000021
N-be75oi_250,CW,Transpose_Best,4956356,0.000019
N-be75oi_250,CW,Exchange_First,5813632,4.476883
N-be75oi_250,CW,Exchange_Best,5741585,0.643091
N-be75oi_250,CW,Insert_First,5802561,2.678830
N-be75oi_250,CW,Insert_Best,5797618,0.650750
N-be75oi_250,CW,VND_TEI,5798277,4.349982
