Instance,Algorithm,Cost,Time_s
N-be75eec_150,ILS,3479142,109.010555
N-be75eec_150,MA,3478176,109.020074
N-be75np_150,ILS,7142152,108.999362
N-be75np_150,MA,7169330,109.032364
N-be75oi_150,ILS,2238759,108.997937
N-be75oi_150,MA,2246220,113.410993
N-be75tot_150,ILS,12270431,109.016946
N-be75tot_150,MA,12254577,110.073892
N-stabu1_150,ILS,2869710,109.022960
N-stabu1_150,MA,2868494,113.194082
N-stabu2_150,ILS,4325609,108.984230
N-stabu2_150,MA,4322198,109.047489
N-stabu3_150,ILS,4502129,109.001362
N-stabu3_150,MA,4498567,113.891127
N-t59b11xx_150,ILS,3236915,109.005749
N-t59b11xx_150,MA,3229780,111.785467
N-t59d11xx_150,ILS,1460459,108.990797
N-t59d11xx_150,MA,1462035,109.432139
N-t59f11xx_150,ILS,1537617,108.999517
N-t59f11xx_150,MA,1542692,109.019503
N-t59n11xx_150,ILS,318939,109.004048
N-t59n11xx_150,MA,318745,109.005620
N-t65b11xx_150,ILS,6425605,109.042691
N-t65b11xx_150,MA,6447357,109.050054
N-t65d11xx_150,ILS,3555326,108.988580
N-t65d11xx_150,MA,3550721,108.994000
N-t65f11xx_150,ILS,3149801,108.984046
N-t65f11xx_150,MA,3154464,109.008192
N-t65l11xx_150,ILS,252999,108.992112
N-t65l11xx_150,MA,252832,109.035578
N-t65n11xx_150,ILS,548508,109.029783
N-t65n11xx_150,MA,549824,109.004125
N-t69r11xx_150,ILS,11837765,108.980006
N-t69r11xx_150,MA,11850013,109.056136
N-t70b11xx_150,ILS,9611461,108.999745
N-t70b11xx_150,MA,9620025,108.993748
N-t70d11xn_150,ILS,5815670,109.006281
N-t70d11xn_150,MA,5814461,109.050310
N-t70d11xx_150,ILS,6145963,108.996437
N-t70d11xx_150,MA,6157675,113.206417
N-t70f11xx_150,ILS,5136191,109.022863
N-t70f11xx_150,MA,5126239,109.039141
N-t70l11xx_150,ILS,436777,108.994229
N-t70l11xx_150,MA,436737,109.013294
N-t70n11xx_150,ILS,946377,109.003934
N-t70n11xx_150,MA,947040,111.665810
N-t74d11xx_150,ILS,9380537,108.982651
N-t74d11xx_150,MA,9377759,108.983936
N-t75d11xx_150,ILS,9616033,109.023201
N-t75d11xx_150,MA,9630310,109.045051
N-t75e11xx_150,ILS,41254385,109.011094
N-t75e11xx_150,MA,41521832,111.664070
N-t75k11xx_150,ILS,1536848,109.036814
N-t75k11xx_150,MA,1539651,109.030949
N-t75n11xx_150,ILS,1738229,108.994655
N-t75n11xx_150,MA,1738921,108.997492
N-tiw56n54_150,ILS,836020,109.004849
N-tiw56n54_150,MA,836587,108.983197
N-tiw56n58_150,ILS,1152943,109.010620
N-tiw56n58_150,MA,1153248,109.076564
N-tiw56n62_150,ILS,1619857,109.016562
N-tiw56n62_150,MA,1622987,109.081174
N-tiw56n66_150,ILS,2096787,109.021138
N-tiw56n66_150,MA,2100433,108.990282
N-tiw56n67_150,ILS,2365502,109.017405
N-tiw56n67_150,MA,2371958,109.769450
N-tiw56n72_150,ILS,4124515,108.992046
N-tiw56n72_150,MA,4130098,108.987826
N-tiw56r54_150,ILS,956866,108.992203
N-tiw56r54_150,MA,957360,110.267662
N-tiw56r58_150,ILS,1217589,109.030737
N-tiw56r58_150,MA,1217276,108.998869
N-tiw56r66_150,ILS,1929115,108.995976
N-tiw56r66_150,MA,1934327,109.025693
N-tiw56r67_150,ILS,2051125,109.012026
N-tiw56r67_150,MA,2054793,110.808378
N-tiw56r72_150,ILS,2812365,109.022126
N-tiw56r72_150,MA,2818165,109.083151
