Instance,Algorithm,Repetition,Cost,Time_s
N-be75eec_150,ILS,1,3420800,0.235656
N-be75eec_150,ILS,1,3427799,0.322238
N-be75eec_150,ILS,1,3434001,0.432740
N-be75eec_150,ILS,1,3435987,0.513254
N-be75eec_150,ILS,1,3445410,0.574340
N-be75eec_150,ILS,1,3447051,0.631781
N-be75eec_150,ILS,1,3447127,0.796784
N-be75eec_150,ILS,1,3448368,0.926751
N-be75eec_150,ILS,1,3450414,1.071640
N-be75eec_150,ILS,1,3450591,1.292605
N-be75eec_150,ILS,1,3457117,1.587178
N-be75eec_150,ILS,1,3457430,2.063594
N-be75eec_150,ILS,1,3457619,2.150890
N-be75eec_150,ILS,1,3457968,2.457644
N-be75eec_150,ILS,1,3458090,3.654093
N-be75eec_150,ILS,1,3459766,3.864691
N-be75eec_150,ILS,1,3460118,4.364272
N-be75eec_150,ILS,1,3461343,4.551210
N-be75eec_150,ILS,1,3461353,5.376622
N-be75eec_150,ILS,1,3461838,5.610199
N-be75eec_150,ILS,1,3461873,8.159496
N-be75eec_150,ILS,1,3462010,9.138808
N-be75eec_150,ILS,1,3462405,17.226600
N-be75eec_150,ILS,1,3463658,20.432588
N-be75eec_150,ILS,1,3463988,22.261940
N-be75eec_150,ILS,1,3464338,23.087453
N-be75eec_150,ILS,1,3464676,27.289879
N-be75eec_150,ILS,1,3464975,29.793921
N-be75eec_150,ILS,1,3465052,36.562588
N-be75eec_150,ILS,1,3465091,52.704396
N-be75eec_150,ILS,1,3465127,53.820927
N-be75eec_150,ILS,1,3465376,58.633356
N-be75eec_150,ILS,1,3465620,60.938808
N-be75eec_150,ILS,1,3465620,60.938833
N-be75eec_150,ILS,2,3420800,0.235468
N-be75eec_150,ILS,2,3425741,0.284398
N-be75eec_150,ILS,2,3430129,0.331889
N-be75eec_150,ILS,2,3441771,0.543659
N-be75eec_150,ILS,2,3444382,0.883097
N-be75eec_150,ILS,2,3444413,1.615849
N-be75eec_150,ILS,2,3446082,1.666852
N-be75eec_150,ILS,2,3446488,1.718479
N-be75eec_150,ILS,2,3447295,1.846300
N-be75eec_150,ILS,2,3449892,1.911285
N-be75eec_150,ILS,2,3451841,1.943793
N-be75eec_150,ILS,2,3453025,2.320247
N-be75eec_150,ILS,2,3454238,2.453659
N-be75eec_150,ILS,2,3455819,2.581916
N-be75eec_150,ILS,2,3458040,2.626120
N-be75eec_150,ILS,2,3460665,3.544411
N-be75eec_150,ILS,2,3465707,3.999421
N-be75eec_150,ILS,2,3465707,3.999452
N-be75eec_150,ILS,3,3420800,0.250736
N-be75eec_150,ILS,3,3425335,0.314693
N-be75eec_150,ILS,3,3427228,0.516012
N-be75eec_150,ILS,3,3429307,0.980091
N-be75eec_150,ILS,3,3431237,1.030982
N-be75eec_150,ILS,3,3449483,1.134475
N-be75eec_150,ILS,3,3450521,1.342339
N-be75eec_150,ILS,3,3450889,2.139481
N-be75eec_150,ILS,3,3454786,2.177674
N-be75eec_150,ILS,3,3455480,2.241793
N-be75eec_150,ILS,3,3455907,2.291069
N-be75eec_150,ILS,3,3459298,2.330457
N-be75eec_150,ILS,3,3466724,2.446870
N-be75eec_150,ILS,3,3466724,2.446891
N-be75eec_150,ILS,4,3420800,0.234764
N-be75eec_150,ILS,4,3422767,0.367516
N-be75eec_150,ILS,4,3427482,0.412344
N-be75eec_150,ILS,4,3433109,0.638190
N-be75eec_150,ILS,4,3433146,0.703818
N-be75eec_150,ILS,4,3434109,0.831184
N-be75eec_150,ILS,4,3436907,0.886009
N-be75eec_150,ILS,4,3441918,1.118410
N-be75eec_150,ILS,4,3445019,1.334335
N-be75eec_150,ILS,4,3446784,1.398733
N-be75eec_150,ILS,4,3453975,2.165039
N-be75eec_150,ILS,4,3455919,2.384017
N-be75eec_150,ILS,4,3456995,2.536559
N-be75eec_150,ILS,4,3464830,3.216776
N-be75eec_150,ILS,4,3465372,3.314876
N-be75eec_150,ILS,4,3465556,3.915245
N-be75eec_150,ILS,4,3465556,3.915270
N-be75eec_150,ILS,5,3420800,0.237263
N-be75eec_150,ILS,5,3421873,0.289742
N-be75eec_150,ILS,5,3421986,0.310610
N-be75eec_150,ILS,5,3422821,0.456835
N-be75eec_150,ILS,5,3445462,0.815387
N-be75eec_150,ILS,5,3454846,0.872878
N-be75eec_150,ILS,5,3455897,0.965048
N-be75eec_150,ILS,5,3456849,1.364130
N-be75eec_150,ILS,5,3459158,1.425028
N-be75eec_150,ILS,5,3460185,1.979488
N-be75eec_150,ILS,5,3461392,2.470807
N-be75eec_150,ILS,5,3461485,2.616603
N-be75eec_150,ILS,5,3462799,2.787921
N-be75eec_150,ILS,5,3463765,3.005415
N-be75eec_150,ILS,5,3464641,3.508662
N-be75eec_150,ILS,5,3464814,3.978567
N-be75eec_150,ILS,5,3464927,4.322800
N-be75eec_150,ILS,5,3465110,4.771902
N-be75eec_150,ILS,5,3465590,4.849058
N-be75eec_150,ILS,5,3465590,4.849081
N-be75eec_150,ILS,6,3420800,0.235651
N-be75eec_150,ILS,6,3420838,0.397425
N-be75eec_150,ILS,6,3422581,0.449759
N-be75eec_150,ILS,6,3423447,0.512844
N-be75eec_150,ILS,6,3434455,0.553839
N-be75eec_150,ILS,6,3437298,0.594084
N-be75eec_150,ILS,6,3441811,0.705836
N-be75eec_150,ILS,6,3442921,0.780499
N-be75eec_150,ILS,6,3448145,0.959401
N-be75eec_150,ILS,6,3450522,0.986627
N-be75eec_150,ILS,6,3453646,1.108931
N-be75eec_150,ILS,6,3453896,1.209496
N-be75eec_150,ILS,6,3455865,1.397840
N-be75eec_150,ILS,6,3456580,1.585004
N-be75eec_150,ILS,6,3457295,1.837782
N-be75eec_150,ILS,6,3460476,2.003245
N-be75eec_150,ILS,6,3460944,2.177007
N-be75eec_150,ILS,6,3462161,2.380910
N-be75eec_150,ILS,6,3462163,2.599623
N-be75eec_150,ILS,6,3462219,3.994870
N-be75eec_150,ILS,6,3462364,4.687751
N-be75eec_150,ILS,6,3464280,4.795971
N-be75eec_150,ILS,6,3466309,6.050777
N-be75eec_150,ILS,6,3466309,6.050809
